t1,ch1,t2,ch2
-50.99796,3.3696091461181643,-50.997959875,-0.00996368408203125
-50.797968,3.3696091461181643,-50.797967875,0.0
-50.597976,3.3745859527587894,-50.597975875,-0.004981842041015625
-50.397984,3.3646323394775393,-50.397983875,0.0
-50.197992,3.3745859527587894,-50.197991875,0.0
-49.998,3.3795627593994144,-49.997999875,0.0
-49.798008,3.3795627593994144,-49.798007875,0.0
-49.598016,3.3646323394775393,-49.598015875,-0.00996368408203125
-49.398024,3.3745859527587894,-49.398023875,0.0
-49.198032,3.3646323394775393,-49.198031875,-0.014945526123046875
-48.99804,3.359655532836914,-48.998039875,-0.004981842041015625
-48.798048,3.3696091461181643,-48.798047875,0.004981842041015625
-48.598056,3.3646323394775393,-48.598055875,-0.00996368408203125
-48.398064,3.3646323394775393,-48.398063875,-0.00996368408203125
-48.198072,3.3696091461181643,-48.198071875000004,-0.004981842041015625
-47.99808,3.3745859527587894,-47.998079875,0.004981842041015625
-47.798088,3.3646323394775393,-47.798087875,0.0
-47.598096,3.3646323394775393,-47.598095875,0.004981842041015625
-47.398104000000004,3.3696091461181643,-47.398103875000004,0.004981842041015625
-47.198112,3.3696091461181643,-47.198111875,-0.00996368408203125
-46.99812,3.359655532836914,-46.998119875,-0.00996368408203125
-46.798128,3.3696091461181643,-46.798127875,0.0
-46.598136000000004,3.3646323394775393,-46.598135875000004,-0.004981842041015625
-46.398144,3.3646323394775393,-46.398143875,-0.004981842041015625
-46.198152,3.359655532836914,-46.198151875,-0.00996368408203125
-45.99816,3.359655532836914,-45.998159875,0.0
-45.798168000000004,3.3696091461181643,-45.798167875000004,0.0
-45.598176,3.3795627593994144,-45.598175875,0.0
-45.398184,3.3646323394775393,-45.398183875,-0.004981842041015625
-45.198192,3.359655532836914,-45.198191875,-0.00996368408203125
-44.998200000000004,3.3646323394775393,-44.998199875000005,-0.004981842041015625
-44.798208,3.3696091461181643,-44.798207875,0.0
-44.598216,3.359655532836914,-44.598215875,-0.004981842041015625
-44.398224,3.359655532836914,-44.398223875,-0.00996368408203125
-44.198232,3.3646323394775393,-44.198231875,0.0
-43.99824,3.359655532836914,-43.998239875,-0.00996368408203125
-43.798248,3.354678726196289,-43.798247875,-0.004981842041015625
-43.598256,3.354678726196289,-43.598255875,-0.00996368408203125
-43.398264,3.354678726196289,-43.398263875,-0.00996368408203125
-43.198272,3.3646323394775393,-43.198271875,-0.00996368408203125
-42.99828,3.3646323394775393,-42.998279875,-0.004981842041015625
-42.798288,3.3646323394775393,-42.798287875,0.0
-42.598296,3.359655532836914,-42.598295875,-0.004981842041015625
-42.398304,3.359655532836914,-42.398303875,0.0
-42.198312,3.3696091461181643,-42.198311875,-0.004981842041015625
-41.99832,3.359655532836914,-41.998319875,0.0
-41.798328,3.3646323394775393,-41.798327875,0.0
-41.598336,3.359655532836914,-41.598335875000004,-0.00996368408203125
-41.398344,3.3646323394775393,-41.398343875,0.0
-41.198352,3.354678726196289,-41.198351875,0.0
-40.99836,3.359655532836914,-40.998359875,-0.004981842041015625
-40.798368,3.3696091461181643,-40.798367875000004,0.0
-40.598376,3.359655532836914,-40.598375875,-0.004981842041015625
-40.398384,3.3646323394775393,-40.398383875,0.0
-40.198392,3.359655532836914,-40.198391875,0.004981842041015625
-39.998400000000004,3.3646323394775393,-39.998399875000004,0.0
-39.798408,3.3646323394775393,-39.798407875,-0.004981842041015625
-39.598416,3.3646323394775393,-39.598415875,0.0
-39.398424,3.3646323394775393,-39.398423875,0.0
-39.198432000000004,3.359655532836914,-39.198431875000004,-0.00996368408203125
-38.99844,3.3646323394775393,-38.998439875,-0.004981842041015625
-38.798448,3.359655532836914,-38.798447875,0.004981842041015625
-38.598456,3.3646323394775393,-38.598455875,0.0
-38.398464000000004,3.349701919555664,-38.398463875000004,-0.004981842041015625
-38.198472,3.359655532836914,-38.198471875,-0.004981842041015625
-37.99848,3.359655532836914,-37.998479875,0.0
-37.798488,3.3646323394775393,-37.798487875,-0.004981842041015625
-37.598496,3.354678726196289,-37.598495875,-0.004981842041015625
-37.398504,3.359655532836914,-37.398503875,0.0
-37.198512,3.359655532836914,-37.198511875,-0.004981842041015625
-36.99852,3.354678726196289,-36.998519875,0.004981842041015625
-36.798528,3.3646323394775393,-36.798527875,-0.004981842041015625
-36.598536,3.354678726196289,-36.598535875,0.0
-36.398544,3.354678726196289,-36.398543875,-0.00996368408203125
-36.198552,3.359655532836914,-36.198551875,-0.004981842041015625
